DTXSID	canonical SMILES
DTXSID2022628	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
DTXSID2020006	CC(=O)Nc1ccc(O)cc1
DTXSID6020359	O=C1CCCCC1
DTXSID0020494	COP(C)(=O)OC
DTXSID9026926	CCCCCCCCCCCCCCO
DTXSID4034948	CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1
DTXSID5048211	CCOC(=O)c1ccc(C)cc1
DTXSID5041306	O=C(c1ccc(O)cc1O)c1ccc(O)cc1O
DTXSID2025135	Cc1ccc([N+](=O)[O-])c(C)c1
DTXSID6021456	O=C1C=Cc2cc(S(=O)(=O)[O-])ccc2/C1=N\Nc1ccc(S(=O)(=O)[O-])cc1.[Na+].[Na+]
DTXSID9020299	CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
DTXSID8021642	CCCCCCCCCCCCCCCCCC(=O)O
DTXSID8026727	CC(C)=CCC/C(C)=C/CO
DTXSID3034402	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
DTXSID4032405	CNC(=O)Oc1cccc(N=CN(C)C)c1.[Cl-].[H+]
DTXSID1020560	O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
DTXSID4020379	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
DTXSID9020827	COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
DTXSID6020014	CC(=O)C1C(=O)C=C(C)OC1=O
DTXSID9037539	O=S1OC[C@@H]2[C@H](CO1)C1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl
DTXSID9047257	c1ccc(C(O[C@@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1
DTXSID4024195	Cc1cc(Cl)ccc1OCC(=O)O
DTXSID7021150	CC(=O)O[Hg]c1ccccc1
DTXSID7042196	CCCCOC(=O)C(C)O
DTXSID3035214	C=CC(O)CCCCC
DTXSID2037712	CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1
DTXSID6022187	Cc1ccc(C)c(O)c1C
DTXSID8040484	C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1
DTXSID1047528	CCCCC(CC)COC(=O)CCCCC(=O)OCc1ccccc1
DTXSID5035957	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
DTXSID4022288	CCCCCCOc1ccc(N)cc1
DTXSID7031248	O.[Br-].[Br-].c1cc[n+]2c(c1)-c1cccc[n+]1CC2
DTXSID2034598	CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
DTXSID7029904	OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID7026029	CC(=O)[c-]1c(=O)cc(C)oc1=O.[Na+]
DTXSID1020805	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
DTXSID7020267	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
DTXSID8021937	CCCCCCCO
DTXSID4020375	Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
DTXSID4034287	CCCCCCC[C@H]1CCC(=O)O1
DTXSID9020374	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
DTXSID0042038	CCCCCCCOC(=O)CCC
DTXSID1021166	CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
DTXSID7020479	CNC(=O)CSP(=S)(OC)OC
DTXSID1024259	CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
DTXSID0021254	C=CCc1ccc2c(c1)OCO2
DTXSID0038700	COc1cc([N+](=O)[O-])ccc1N
DTXSID8024280	CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
DTXSID8024238	CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
DTXSID4022991	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DTXSID0027270	CCCCCCCCCCCCCCCO
DTXSID6020278	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
DTXSID6048175	COc1ccc(-n2nc(C(F)F)cc2-c2ccc(S(C)=O)cc2)cc1
DTXSID8024157	CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
DTXSID6022391	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
DTXSID3021853	OCCN1CCNCC1
DTXSID7025895	Nc1ccc(Nc2ccccc2)cc1
DTXSID4047628	C1CCC(SSC2CCCCC2)CC1
DTXSID2032398	N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2
DTXSID1040372	Fc1ccc([C@@]2(Cn3cncn3)O[C@H]2c2ccccc2Cl)cc1
DTXSID7022411	CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
DTXSID4027991	CCCCCCCCCCCCCCCCO
DTXSID8041957	CCOC(OCC)OCC
DTXSID5027770	C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].[Na+]
DTXSID5023875	NS(=O)(=O)[O-].[NH4+]
DTXSID9027863	CC(O)COC(C)CO
DTXSID9029223	Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C
DTXSID4032667	CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
DTXSID8024072	CN(C)C(=O)C(c1ccccc1)c1ccccc1
DTXSID3024152	CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O
DTXSID3020043	NC(=O)NC1NC(=O)NC1=O
DTXSID7025506	CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O
DTXSID9021928	CCOCCOC(C)=O
DTXSID9037745	CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1
DTXSID8022406	O=C(c1ccccc1)c1ccc(O)cc1O
DTXSID7024112	CS(=O)(=O)[N-]C(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-].[Na+]
DTXSID1020431	Clc1ccc(Cl)cc1
DTXSID4027076	CCCCCCCCCCCCOS(=O)(=O)O.OCCN(CCO)CCO
DTXSID7032553	CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
DTXSID4047882	O=C(Oc1ccccc1)c1ccc(O)cc1
DTXSID5034303	CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl
DTXSID9020453	ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
DTXSID9042382	CCCO[Si](OCCC)(OCCC)OCCC
DTXSID3020205	CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
DTXSID1041891	c1ccc(Cc2ccccc2)cc1
DTXSID5020281	O=[N+]([O-])c1ccc(Cl)cc1
DTXSID0021125	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
DTXSID3026728	CC(C)=CCC/C(C)=C\CO
DTXSID1024174	CCCCSP(=O)(SCCCC)SCCCC
DTXSID6020143	O=C(O)c1ccccc1
DTXSID9027522	CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1
DTXSID5042243	CCCCCCCC/C=C/CCCCCCCC(=O)N(C)CC(=O)O
